sector,trading_date,open,high,low,close,volume,year,month,date
Engineering,2017-05-02,101.57,102.57,99.9,101.13,399156.61,2017,05,02
Engineering,2017-05-03,101.41,103.05,100.22,101.16,328356.39,2017,05,03
Engineering,2017-05-04,101.42,102.16,100.41,100.98,383385.97,2017,05,04
Engineering,2017-05-07,101.19,102.26,100.33,101.24,346277.3,2017,05,07
Engineering,2017-05-08,101.46,102.4,100.49,101.36,426731.03,2017,05,08
Engineering,2017-05-09,89.37,90.18,88.35,88.99,356724.13,2017,05,09
Engineering,2017-05-11,102.52,104.1,101.49,102.83,331135.56,2017,05,11
Engineering,2017-05-14,101.85,103.67,101.04,102.43,298328.64,2017,05,14
Engineering,2017-05-15,102.51,105.42,101.8,104.22,232029.42,2017,05,15
Engineering,2017-05-16,104.35,105.21,102.45,103.47,235890.36,2017,05,16
Engineering,2017-05-17,103.47,107.39,102.98,106.4,421182.61,2017,05,17
Engineering,2017-05-18,106.95,108.85,105.1,106.43,407354.45,2017,05,18
Engineering,2017-05-21,105.96,107.47,104.04,105.13,251399.06,2017,05,21
Engineering,2017-05-22,105.36,106.42,102.96,103.9,279349.42,2017,05,22
Engineering,2017-05-23,104.05,105.38,102.85,103.97,357814.91,2017,05,23
Engineering,2017-05-24,104.58,105.7,102.62,103.28,252633.73,2017,05,24
Engineering,2017-05-25,104.05,105.12,102.82,103.49,306011.21,2017,05,25
Engineering,2017-05-28,104.12,104.65,102.35,103.2,178734.48,2017,05,28
Engineering,2017-05-29,103.54,104.24,102.0,102.78,199902.67,2017,05,29
Engineering,2017-05-30,102.93,103.88,102.0,102.66,171963.36,2017,05,30
Engineering,2017-05-31,103.29,104.0,102.12,102.8,211990.15,2017,05,31
Engineering,2017-06-01,104.47,105.03,102.51,103.23,202248.28,2017,06,01
Engineering,2017-06-04,104.2,104.85,102.93,103.7,215179.84,2017,06,04
Engineering,2017-06-05,101.96,103.32,101.01,102.24,417712.39,2017,06,05
Engineering,2017-06-06,103.02,103.76,101.85,102.65,372267.21,2017,06,06
Engineering,2017-06-07,102.89,103.52,102.08,102.52,305158.06,2017,06,07
Engineering,2017-06-08,102.7,103.41,101.93,102.49,255381.0,2017,06,08
Engineering,2017-06-11,102.49,103.24,101.49,102.13,185194.45,2017,06,11
Engineering,2017-06-12,102.28,103.42,101.34,102.32,191400.06,2017,06,12
Engineering,2017-06-13,102.55,103.12,101.56,102.33,169904.88,2017,06,13
Engineering,2017-06-14,102.48,102.93,101.09,101.85,285955.33,2017,06,14
Engineering,2017-06-15,102.06,103.05,101.2,102.22,354790.76,2017,06,15
Engineering,2017-06-18,102.61,103.57,101.94,102.72,193372.79,2017,06,18
Engineering,2017-06-19,102.96,104.13,102.19,103.2,258957.12,2017,06,19
Engineering,2017-06-20,103.91,104.58,102.37,103.6,327452.21,2017,06,20
Engineering,2017-06-21,104.0,104.88,102.79,103.65,358591.55,2017,06,21
Engineering,2017-06-22,105.2,106.42,103.65,104.81,359398.82,2017,06,22
Engineering,2017-06-28,105.37,107.01,104.32,105.87,324173.36,2017,06,28
Engineering,2017-06-29,106.62,107.44,105.1,106.3,408896.42,2017,06,29
Engineering,2017-07-02,106.66,108.92,105.58,107.86,611817.06,2017,07,02
Engineering,2017-07-03,107.64,108.73,105.73,106.89,661959.38,2017,07,03
Engineering,2017-07-04,108.05,109.72,107.15,108.3,619163.42,2017,07,04
Engineering,2017-07-05,109.03,109.9,107.46,108.26,527033.58,2017,07,05
Engineering,2017-07-06,108.32,109.39,106.99,107.9,434300.45,2017,07,06
Engineering,2017-07-09,109.75,111.33,108.24,109.7,747167.16,2017,07,09
Engineering,2017-07-10,109.13,110.67,107.68,109.0,997366.88,2017,07,10
Engineering,2017-07-11,108.93,110.32,107.57,108.65,741533.12,2017,07,11
Engineering,2017-07-12,108.54,110.09,107.33,108.45,527335.97,2017,07,12
Engineering,2017-07-13,108.93,110.35,107.68,109.17,519633.18,2017,07,13
Engineering,2017-07-16,109.64,111.41,108.75,110.18,787211.24,2017,07,16
Engineering,2017-07-17,110.4,111.95,109.31,110.51,868800.85,2017,07,17
Engineering,2017-07-18,110.96,112.6,109.73,110.96,559454.7,2017,07,18
Engineering,2017-07-19,111.34,113.42,110.26,111.38,617338.0,2017,07,19
Engineering,2017-07-20,111.62,112.78,110.19,111.36,344235.39,2017,07,20
Engineering,2017-07-23,111.97,113.75,110.71,111.87,373183.0,2017,07,23
Engineering,2017-07-24,112.51,113.88,111.21,112.13,289173.12,2017,07,24
Engineering,2017-07-25,113.33,114.09,111.75,112.53,259937.88,2017,07,25
Engineering,2017-07-26,112.98,113.77,111.47,112.52,271896.18,2017,07,26
Engineering,2017-07-27,112.59,113.38,111.37,112.27,272289.55,2017,07,27
Engineering,2017-07-30,112.44,113.54,111.03,111.72,235323.52,2017,07,30
Engineering,2017-07-31,111.03,113.17,109.23,111.58,654274.65,2017,07,31
Engineering,2017-08-01,112.0,113.25,110.21,111.4,550274.09,2017,08,01
Engineering,2017-08-02,111.77,112.93,110.04,110.81,595710.76,2017,08,02
Engineering,2017-08-03,110.98,112.62,109.65,111.0,555377.94,2017,08,03
Engineering,2017-08-06,111.69,113.92,110.94,112.61,754711.35,2017,08,06
