sector,trading_date,open,high,low,close,volume
1JANATAMF,01-01-15,5.1,5.3,5.1,5.3,91470
1JANATAMF,01-05-15,5.1,5.2,5.1,5.1,26123
1JANATAMF,01-06-15,5.2,5.3,5.1,5.2,78987
1JANATAMF,01-07-15,5.1,5.2,5.1,5.2,98861
1JANATAMF,01-08-15,5.1,5.3,5,5.2,103256
1JANATAMF,01-11-15,5.1,5.2,5.1,5.2,64717
1JANATAMF,01-12-15,5.1,5.2,5.1,5.1,34650
1JANATAMF,13-01-15,5.1,5.2,5.1,5.1,86072
1JANATAMF,14-01-15,5.2,5.3,5.1,5.2,113400
1JANATAMF,15-01-15,5.1,5.3,5.1,5.2,284893
1JANATAMF,18-01-15,5.2,5.2,5.1,5.1,61432
1JANATAMF,19-01-15,5.1,5.3,5.1,5.2,242408
1JANATAMF,20-01-15,5.1,5.2,5.1,5.1,20924
1JANATAMF,21-01-15,5.1,5.2,5.1,5.1,73675
1JANATAMF,22-01-15,5.1,5.2,5.1,5.1,19805
1JANATAMF,25-01-15,5.1,5.1,5,5,22283
1JANATAMF,26-01-15,5,5.1,4.9,5,38128
1JANATAMF,27-01-15,5,5.1,5,5.1,142284
1JANATAMF,28-01-15,5.1,5.2,5.1,5.1,63154
1JANATAMF,29-01-15,5.1,5.1,5,5.1,32330
1JANATAMF,02-01-15,5,5,4.8,5,78515
1JANATAMF,02-02-15,4.9,5,4.9,5,112541
1JANATAMF,02-03-15,4.9,5.2,4.9,5.1,214820
1JANATAMF,02-04-15,5.1,5.2,5,5.1,148262
1JANATAMF,02-05-15,5,5.1,5,5.1,80424
1JANATAMF,02-08-15,5,5.1,5,5,142314
1JANATAMF,02-09-15,5,5.1,4.9,5,63800
1JANATAMF,02-10-15,5,5.1,5,5,69826
1JANATAMF,02-11-15,5,5.1,4.9,5,102914
1JANATAMF,02-12-15,5,5.1,4.9,5,59240
1JANATAMF,15-02-15,5,5.1,5,5,81620
1JANATAMF,16-02-15,5,5.1,5,5,83642
1JANATAMF,17-02-15,5,5.1,5,5,88870
1JANATAMF,18-02-15,5,5.1,5,5,132968
1JANATAMF,19-02-15,4.9,5.1,4.9,5.1,162044
1JANATAMF,22-02-15,5,5,4.9,5,68580
1JANATAMF,23-02-15,5,5,4.9,4.9,94050
1JANATAMF,24-02-15,4.9,5,4.9,5,109090
1JANATAMF,25-02-15,5,5,4.9,5,100346
1JANATAMF,26-02-15,4.9,5,4.9,5,38653
1JANATAMF,03-01-15,5,5,4.9,5,51957
1JANATAMF,03-02-15,4.9,5,4.9,5,95485
1JANATAMF,03-03-15,4.9,5,4.9,4.9,26163
1JANATAMF,03-04-15,5,5,4.9,5,145248
1JANATAMF,03-05-15,4.9,4.9,4.8,4.8,181417
1JANATAMF,03-08-15,4.8,4.9,4.8,4.9,7937
1JANATAMF,03-09-15,4.8,4.9,4.8,4.8,33055
1JANATAMF,03-10-15,4.8,4.9,4.8,4.8,70304
1JANATAMF,03-11-15,4.8,4.8,4.8,4.8,62504
1JANATAMF,03-12-15,4.6,4.8,4.6,4.7,49733
1JANATAMF,15-03-15,4.8,4.8,4.7,4.7,21679
1JANATAMF,16-03-15,4.6,4.8,4.6,4.7,6694
1JANATAMF,18-03-15,4.7,4.8,4.7,4.7,49955
1JANATAMF,19-03-15,4.6,4.9,4.6,4.8,47934
1JANATAMF,22-03-15,4.7,4.9,4.7,4.8,29755
1JANATAMF,23-03-15,4.8,4.9,4.6,4.6,236203
1JANATAMF,24-03-15,4.7,4.8,4.7,4.8,53221
1JANATAMF,25-03-15,4.7,4.7,4.6,4.6,34158
1JANATAMF,29-03-15,4.6,4.7,4.6,4.6,98489
1JANATAMF,30-03-15,4.6,4.7,4.5,4.6,141667
1JANATAMF,31-03-15,4.6,4.6,4.5,4.5,25273
1JANATAMF,04-01-15,4.5,4.6,4.5,4.6,46311
1JANATAMF,04-02-15,4.5,4.6,4.5,4.6,91511
1JANATAMF,04-05-15,4.6,4.6,4.3,4.5,37355
1JANATAMF,04-06-15,4.5,4.5,4.3,4.5,27386
1JANATAMF,04-07-15,4.3,4.4,4.3,4.3,83382
1JANATAMF,04-08-15,4.3,4.5,4.3,4.3,77769
1JANATAMF,04-09-15,4.3,4.3,4.1,4.1,283615
1JANATAMF,04-12-15,4.1,4.3,4.1,4.1,19511
1JANATAMF,13-04-15,4,4.2,4,4.1,32863
1JANATAMF,15-04-15,4.1,4.2,4.1,4.2,51600
1JANATAMF,16-04-15,4.2,4.3,4.1,4.1,52906
1JANATAMF,19-04-15,4.1,4.3,4.1,4.2,55101
1JANATAMF,20-04-15,4.1,4.2,4.1,4.1,35879
1JANATAMF,21-04-15,4.1,4.2,4.1,4.2,54166
1JANATAMF,22-04-15,4.1,4.3,4.1,4.1,58222
1JANATAMF,23-04-15,4.1,4.2,4.1,4.1,80119
1JANATAMF,26-04-15,4.2,4.2,4.1,4.2,30710
1JANATAMF,27-04-15,4.1,4.2,4.1,4.1,593554
1JANATAMF,29-04-15,4.2,4.2,4.1,4.1,37007
1JANATAMF,30-04-15,4.1,4.2,4.1,4.2,80682
1JANATAMF,05-04-15,4.1,4.1,4,4.1,38460
1JANATAMF,05-05-15,4.2,4.2,4,4.1,42812
1JANATAMF,05-06-15,4,4.1,4,4.1,28108
1JANATAMF,05-07-15,4.1,4.3,4.1,4.2,93995
1JANATAMF,05-10-15,4.3,4.6,4.2,4.6,386695
1JANATAMF,05-11-15,4.5,4.8,4.5,4.8,269914
1JANATAMF,05-12-15,4.9,5.2,4.9,5,584965
