source_sheet,sector,trading_date,open,high,low,close,volume
DSE-2011,1JANATAMF,2015-01-01,5.1,5.3,5.1,5.3,91470
DSE-2011,1JANATAMF,2015-05-01,5.1,5.2,5.1,5.1,26123
DSE-2011,1JANATAMF,2015-06-01,5.2,5.3,5.1,5.2,78987
DSE-2011,1JANATAMF,2015-07-01,5.1,5.2,5.1,5.2,98861
DSE-2011,1JANATAMF,2015-08-01,5.1,5.3,5.0,5.2,103256
DSE-2011,1JANATAMF,2015-11-01,5.1,5.2,5.1,5.2,64717
DSE-2011,1JANATAMF,2015-12-01,5.1,5.2,5.1,5.1,34650
DSE-2011,1JANATAMF,2015-01-13,5.1,5.2,5.1,5.1,86072
DSE-2011,1JANATAMF,2015-01-14,5.2,5.3,5.1,5.2,113400
DSE-2011,1JANATAMF,2015-01-15,5.1,5.3,5.1,5.2,284893
DSE-2011,1JANATAMF,2015-01-18,5.2,5.2,5.1,5.1,61432
DSE-2011,1JANATAMF,2015-01-19,5.1,5.3,5.1,5.2,242408
DSE-2011,1JANATAMF,2015-01-20,5.1,5.2,5.1,5.1,20924
DSE-2011,1JANATAMF,2015-01-21,5.1,5.2,5.1,5.1,73675
DSE-2011,1JANATAMF,2015-01-22,5.1,5.2,5.1,5.1,19805
DSE-2011,1JANATAMF,2015-01-25,5.1,5.1,5.0,5.0,22283
DSE-2011,1JANATAMF,2015-01-26,5.0,5.1,4.9,5.0,38128
DSE-2011,1JANATAMF,2015-01-27,5.0,5.1,5.0,5.1,142284
DSE-2011,1JANATAMF,2015-01-28,5.1,5.2,5.1,5.1,63154
DSE-2011,1JANATAMF,2015-01-29,5.1,5.1,5.0,5.1,32330
DSE-2011,1JANATAMF,2015-01-02,5.0,5.0,4.8,5.0,78515
DSE-2011,1JANATAMF,2015-02-02,4.9,5.0,4.9,5.0,112541
DSE-2011,1JANATAMF,2015-03-02,4.9,5.2,4.9,5.1,214820
DSE-2011,1JANATAMF,2015-04-02,5.1,5.2,5.0,5.1,148262
DSE-2011,1JANATAMF,2015-05-02,5.0,5.1,5.0,5.1,80424
DSE-2011,1JANATAMF,2015-08-02,5.0,5.1,5.0,5.0,142314
DSE-2011,1JANATAMF,2015-09-02,5.0,5.1,4.9,5.0,63800
DSE-2011,1JANATAMF,2015-10-02,5.0,5.1,5.0,5.0,69826
DSE-2011,1JANATAMF,2015-11-02,5.0,5.1,4.9,5.0,102914
DSE-2011,1JANATAMF,2015-12-02,5.0,5.1,4.9,5.0,59240
DSE-2011,1JANATAMF,2015-02-15,5.0,5.1,5.0,5.0,81620
DSE-2011,1JANATAMF,2015-02-16,5.0,5.1,5.0,5.0,83642
DSE-2011,1JANATAMF,2015-02-17,5.0,5.1,5.0,5.0,88870
DSE-2011,1JANATAMF,2015-02-18,5.0,5.1,5.0,5.0,132968
DSE-2011,1JANATAMF,2015-02-19,4.9,5.1,4.9,5.1,162044
DSE-2011,1JANATAMF,2015-02-22,5.0,5.0,4.9,5.0,68580
DSE-2011,1JANATAMF,2015-02-23,5.0,5.0,4.9,4.9,94050
DSE-2011,1JANATAMF,2015-02-24,4.9,5.0,4.9,5.0,109090
DSE-2011,1JANATAMF,2015-02-25,5.0,5.0,4.9,5.0,100346
DSE-2011,1JANATAMF,2015-02-26,4.9,5.0,4.9,5.0,38653
DSE-2011,1JANATAMF,2015-01-03,5.0,5.0,4.9,5.0,51957
DSE-2011,1JANATAMF,2015-02-03,4.9,5.0,4.9,5.0,95485
DSE-2011,1JANATAMF,2015-03-03,4.9,5.0,4.9,4.9,26163
DSE-2011,1JANATAMF,2015-04-03,5.0,5.0,4.9,5.0,145248
DSE-2011,1JANATAMF,2015-05-03,4.9,4.9,4.8,4.8,181417
DSE-2011,1JANATAMF,2015-08-03,4.8,4.9,4.8,4.9,7937
DSE-2011,1JANATAMF,2015-09-03,4.8,4.9,4.8,4.8,33055
DSE-2011,1JANATAMF,2015-10-03,4.8,4.9,4.8,4.8,70304
DSE-2011,1JANATAMF,2015-11-03,4.8,4.8,4.8,4.8,62504
DSE-2011,1JANATAMF,2015-12-03,4.6,4.8,4.6,4.7,49733
DSE-2011,1JANATAMF,2015-03-15,4.8,4.8,4.7,4.7,21679
DSE-2011,1JANATAMF,2015-03-16,4.6,4.8,4.6,4.7,6694
DSE-2011,1JANATAMF,2015-03-18,4.7,4.8,4.7,4.7,49955
DSE-2011,1JANATAMF,2015-03-19,4.6,4.9,4.6,4.8,47934
DSE-2011,1JANATAMF,2015-03-22,4.7,4.9,4.7,4.8,29755
DSE-2011,1JANATAMF,2015-03-23,4.8,4.9,4.6,4.6,236203
DSE-2011,1JANATAMF,2015-03-24,4.7,4.8,4.7,4.8,53221
DSE-2011,1JANATAMF,2015-03-25,4.7,4.7,4.6,4.6,34158
DSE-2011,1JANATAMF,2015-03-29,4.6,4.7,4.6,4.6,98489
DSE-2011,1JANATAMF,2015-03-30,4.6,4.7,4.5,4.6,141667
DSE-2011,1JANATAMF,2015-03-31,4.6,4.6,4.5,4.5,25273
DSE-2011,1JANATAMF,2015-01-04,4.5,4.6,4.5,4.6,46311
DSE-2011,1JANATAMF,2015-02-04,4.5,4.6,4.5,4.6,91511
